Dataset Name,Domain,Number of Variables at each time point,Number of Time Points,Time interval between points,Primary Source Repository,Link to Data,Detailed Description,Comments,Original Row #,Number of Versions,Reconciler Version,Reconciler Status,Reconciliation Notes,Added by Gemini,Informer,Monash TSER,UTSD,AutoGluon,Darts,TSLib,TSFM-Granite,TSFM-Core,TSFM-Bench,LOTSA,Prophet,NeuralForecast,Merlion,Aeon,DataLoop,NonUCR-UCI,UCR,UEA,MONSTER,Monash-Full,Monash-Common,Monash-small,M1,M2,M3,M4,M5,M6,TSB-UAD MOMENT,TSB-UAD Full,Hackernoon,Monash Moment,Kaggle TS,FastML,Time-LLM,AutoTimes,ST-LLM,LLM-Time,LLM-Mixer,LLM-prompt,LLM-PS,One Fits All,Lag-Llama,Chronos-Pre,Chronos-Eval1,Chronos-Eval2,ChronosBolt-Pre,ChronosBolt-Eval1,ChronosBolt-Eval2,ChronosX-Eval2,ChronosX-Synth,ChronosX-Pre,ChronosX-Eval1,TS-RAGZSEval,TS-RAGPreT,Tempo,TimeBench,InstructTime,LPTM-Pre,LPTM-Eval,TS2Vec-Bench,TS2Vec-PreT,Automixer,TTM-PreT,TTM-Eval,TTM-Bench,TSMamba-ZS,TSMamba-FullShot,TimeGPT,GHPT,TimesNet,TimesFM,Time-MOE,Timer-XL,LightGTS,CiK,NSF HDR,MLCommons-EQ
Daphnet (Univariate),Health,1,21760,15.625 ms (64 Hz),UCI Machine Learning Repository,UCI Dataset Link,"Contains annotated readings from acceleration sensors on Parkinson's disease patients. The anomalies represent ""Freezing of Gait"" (FoG) events.","This is a univariate representation of the original Daphnet dataset, likely derived from one specific sensor or a composite feature.",107,1,22,Split into 2 records on 2025-08-04 15:38:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darts (Collection),Multiple,1 (univariate per series),"Varies (e.g., 144 for AirPassengers, 2820 for Sunspots, 1800 for HeartRate)","Varies (e.g., Monthly, 0.5 seconds)",Darts Python Library,Darts Library,"A collection of 8 real univariate time series datasets available through the Darts Python library, used for benchmarking probabilistic predictions. Includes datasets like AirPassengersDataset and SunspotsDataset.",Used for Section 4 experiments in LLM-time paper. LLM-time performance was comparable to GPT-3 on Darts.,108,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataloop Platform (General Unstructured Data),Cross-Domain,N/A,N/A,N/A,"User's Cloud Storage (AWS S3, GCP, Azure Blob Storage), Dataloop Internal Storage",Dataloop Data Integration,"Dataloop is an enterprise-grade platform for managing and processing various unstructured data types at scale. Supports millions of items and annotations. Provides robust data management, versioning, querying, and curation tools.","Core platform for AI/ML lifecycle. Users bring their own data. Max 25M items per dataset, 7M annotations in joined queries.9",109,1,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DiatomSizeReduction,Image,1,345,Not specified,"timeseriesclassification.com, cs.ucr.edu",DiatomSizeReduction Description,This dataset involves classifying diatoms into 4 size-reduction categories based on their shape outlines.,Sourced from the ADIAC project. A 4-class problem with 16 training and 306 testing instances.,110,6,22,Auto-reconciled (1 unique source) on 2025-08-04 15:38:58,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
DistalPhalanxOutlineAgeGroup,Image,1,80,Not specified,"timeseriesclassification.com, cs.ucr.edu",DistalPhalanxOutlineAgeGroup Description,This dataset contains outlines of the distal phalanx bone. The task is to classify the bone into one of 3 age groups.,Donated by L. Davis & A. Bagnall. It includes 400 instances for training and 139 for testing.,111,6,22,Auto-reconciled (1 unique source) on 2025-08-04 15:38:58,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
DistalPhalanxOutlineCorrect,Image,1,80,Not specified,"timeseriesclassification.com, cs.ucr.edu",DistalPhalanxOutlineCorrect Description,"This dataset contains outlines of the distal phalanx bone. The task is a binary classification, likely related to a specific condition or feature.",Donated by L. Davis & A. Bagnall. It includes 600 instances for training and 276 for testing.,112,6,22,Auto-reconciled (1 unique source) on 2025-08-04 15:38:59,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
DistalPhalanxTW,Image,1,80,Not specified,"timeseriesclassification.com, cs.ucr.edu",DistalPhalanxTW Description,"This dataset contains outlines of the distal phalanx bone, related to the Tanner-Whitehouse method of bone age assessment. The task is to classify the bone into one of 6 developmental stages.",Donated by L. Davis & A. Bagnall. It includes 400 instances for training and 139 for testing.,113,6,22,Auto-reconciled (1 unique source) on 2025-08-04 15:38:59,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
DodgerLoopDay,Sensor,1,288,Not specified,"timeseriesclassification.com, cs.ucr.edu",DodgerLoopDay Description,"This Sensor dataset contains traffic loop data. The classification task is to categorize traffic patterns into one of 7 classes, representing different days.",Donated by C.-C. M. Yeh. It includes 78 instances for training and 80 for testing.,114,6,22,Auto-reconciled (1 unique source) on 2025-08-04 15:39:00,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
DodgerLoopGame,Sensor,1,288,Not specified,"timeseriesclassification.com, cs.ucr.edu",DodgerLoopGame Description,This Sensor dataset contains traffic loop data near Dodger Stadium. The binary classification task is to determine if a baseball game is occurring.,Donated by C.-C. M. Yeh. It includes 20 instances for training and 138 for testing.,115,6,22,Auto-reconciled (1 unique source) on 2025-08-04 15:39:00,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
DodgerLoopWeekend,Sensor,1,288,Not specified,"timeseriesclassification.com, cs.ucr.edu",DodgerLoopWeekend Description,This Sensor dataset contains traffic loop data. The binary classification task is to distinguish between weekend and weekday traffic patterns.,Donated by C.-C. M. Yeh. It includes 20 instances for training and 138 for testing.,116,6,22,Auto-reconciled (1 unique source) on 2025-08-04 15:39:01,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
Dodgers,Traffic/Transportation,Not specified (Presumed Multivariate),50400 (Average length per series),Not specified,Not specified,Download Public Datasets,A loop sensor dataset capturing traffic flow on the Glendale on-ramp to the 101 North freeway in Los Angeles.  Anomalies in the data correspond to unusual traffic patterns following Dodgers games.,This dataset's exact features and time interval between data points are not specified in the provided source.,117,1,22,Split into 2 records on 2025-08-04 15:39:18,"Multiple Datasets. While the datasets share a similar name and relate to Dodgers game traffic, there are key differences suggesting distinct datasets. 'TSB-UAD MOMENT' explicitly states it's a univariate version focusing on the 'Count' feature and intended for anomaly detection, sourced from the UCI Machine Learning Repository. 'TSB-UAD Full' implies a multivariate dataset without specifying its features, and links to a different download location on thedatum.org.  The remaining sources reference different aspects of either Dodger Stadium traffic (real-time, fan experience) or Dodgers game attendance data and its correlation with promotional giveaways, entirely separate from the time-series traffic data of the TSB datasets.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodgers,Transport,1 (Univariate - 'Count' Feature),50400,5 Minutes,UCI Machine Learning Repository,UCI Dataset Link,"A univariate time-series dataset derived from loop sensor data measuring traffic volume on the Glendale on-ramp to the 101 North freeway in Los Angeles.  It focuses on the 'Count' variable, representing the number of vehicles, and highlights traffic anomalies after Dodgers baseball games.  The original source data was multivariate, but this version uses only the 'Count' feature.","Anomalies represent contextual deviations (unusual, but real traffic) rather than data errors. This version is specifically designed for anomaly detection tasks within the TSB-UAD framework.",117,1,22,Split into 2 records on 2025-08-04 15:39:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dominick,Sales,1 (univariate),115704 time series with minimum length of 28 weeks and maximum length of 393 weeks,Weekly,"Monash Time Series Forecasting Repository/ James M. Kilts Center, University of Chicago","https://forecastingdata.org/, https://zenodo.org/record/4656413","A dataset of weekly sales data for over 3,500 unique products (UPCs) across nearly 100 stores of Dominick's Finer Foods from 1989-1994.  Contains 115,704 time series, each representing sales for a specific product at a specific store.",This version likely represents the most granular level of sales data available from DFF.,118,2,22,Split into 2 records on 2025-08-04 15:40:17,"Multiple Datasets

**Reasoning:** While all sources mention time series data related to Dominick's Finer Foods, there are key discrepancies that point to multiple distinct datasets derived from the original raw data:

* **Number of Time Series and Length:** 'AutoGluon' and 'Monash Moment' describe a dataset with 115,704 time series, each representing a unique product/store combination with varying lengths (28-393 weeks). The other sources point to a smaller dataset focused on aggregate product sales, with a consistent (or average) length of around 296 weeks.
* **Time Interval:**  Most sources state weekly data, aligning with the original data granularity. However, 'ChronosBolt-Eval2' and 'ChronosX-Eval2' suggest daily data, implying a resampled or differently processed version.
* **Number of Variables:** Some sources ('AutoGluon', 'Chronos-Eval2', 'Monash Moment') describe univariate time series (one variable, which is profit or sales). 'ChronosX-Eval2' explicitly states ""Varies (Multivariate),"" suggesting additional features beyond sales/profit, possibly at a different level of aggregation. 'ChronosBolt-Eval2' comments say it includes ""sales, profit margin, and other variables,"" likely at the UPC level.
* **Source/Hosting Location:** Different repositories are mentioned, including the Monash Time Series Forecasting Repository, the Kilts Center at the University of Chicago, Hugging Face, and Zenodo. This indicates different curated versions of the data exist.

Therefore, I've created two",,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominick,Retail/Economics,1 or varies (depending on the specific version),"~296 (average), min 201, max 399",Weekly or Daily (depending on the specific version),"Dominick's Finer Foods (via University of Chicago Booth School of Business), Kilts Center, Chicago Booth, Hugging Face / Monash Time Series Forecasting Repository","https://www.chicagobooth.edu/research/kilts/research-data/dominicks, https://huggingface.co/datasets/autogluon/chronos_datasets","Aggregated weekly or daily data focusing on individual stock keeping units (SKUs) from Dominick's Finer Foods. Different versions of this data might include sales, profit margin, and potentially other features. Some daily versions exist.  One version contains 100014 times series.","This dataset aggregates sales data at different levels and might contain additional features depending on the version.  There are variations in variable numbers and time frequency. One version includes additional variables per UPC. One source has 100,014 time series (ChronosX-Eval2).",118,4,22,Split into 2 records on 2025-08-04 15:40:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,
dominick_weekly,Sales,1 (Univariate),28 - 393,Weekly,Zenodo,Zenodo Record,"A very large dataset of 115,704 weekly time series related to product sales from the Dominick's Finer Foods grocery chain, provided by the James M. Kilts Center.",Sourced from U. of Chicago Booth School of Business.,119,3,22,Auto-reconciled (1 unique source) on 2025-08-04 15:40:51,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,
Dow Jones Index,Finance,15,750,Weekly,UCI Machine Learning Repository,Link to Data,"Contains weekly data for the Dow Jones Industrial Average (DJIA) and 15 other financial indicators (e.g., stock prices of component companies, currency exchange rates). Used for computational investing research.6","A classic, small-scale multivariate financial time-series dataset. Suitable for testing econometric models, portfolio optimization strategies, and basic stock movement prediction. Its age means it does not reflect modern market volatility but is good for foundational work.",120,2,22,Auto-reconciled (1 unique source) on 2025-08-04 15:40:52,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
DreamerA,EEG,14,256,7.8125 ms (1/128 Hz),"Katsigiannis, S. & Ramzan, N. (2017). IEEE JBHI 9",monster-monash/DreamerA,This is a multimodal dataset recorded while 23 participants watched movie clips designed to elicit different emotions. It includes 14-channel EEG data sampled at 128 Hz. This specific task focuses on classifying the participant's self-reported arousal level (high vs. low) based on the EEG signals.5,This is an affective computing task. The challenge is to find neural correlates of emotional arousal in the EEG signal. Signals are noisy and exhibit high variability between subjects and even between trials for the same subject. Cross-validation is split by subject.,121,1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DreamerV,EEG,14,256,7.8125 ms (1/128 Hz),"Katsigiannis, S. & Ramzan, N. (2017). IEEE JBHI 9",monster-monash/DreamerV,"Using the same underlying EEG data as DreamerA, this task focuses on classifying the participant's self-reported valence level (positive vs. negative emotion) instead of arousal. It presents a different affective computing challenge using the same raw signals.5",Classifying valence is often considered more challenging than classifying arousal from EEG signals. This dataset allows for direct comparison of model performance on these two related but distinct emotional dimensions. The cross-validation is also split by subject.,122,1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DuckDuckGeese,Motion,1345,270,Not specified,timeseriesclassification.com,DuckDuckGeese Description,"This dataset tracks the motion of geese, using 1345 variables to classify their behavior into 5 categories. The dataset consists of 50 training instances and 50 testing instances.",Dataset is part of the UEA multivariate archive. The task is a 5-class classification problem.,123,6,22,Split into 2 records on 2025-08-04 15:41:05,"Multiple Datasets

The sources describe two distinct datasets with the same name. While both relate to motion and utilize data from `timeseriesclassification.com`, their descriptions reveal different purposes and structures:

* **Dataset A:** Focuses on goose motion classification into 5 categories.  The 1345 variables at 270 time points track goose movements for behavior analysis.
* **Dataset B:** Focuses on bird species classification (Duck, Duck, Goose).  The same 1345 variables at 270 time points represent image features from video frames used for species identification.",,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
DuckDuckGeese,Motion,1345,270,Uniform,timeseriesclassification.com,Link,"This dataset uses video frames to identify bird species (Duck, Duck, Goose). Each time series corresponds to a video frame, with 1345 variables representing image features. The task is to classify the bird species present in each video.",This dataset is characterized by its high dimensionality (more variables than time points) and serves as a benchmark for multivariate time series classification algorithms in such scenarios.,123,5,22,Split into 2 records on 2025-08-04 15:41:05,,,,,,,Y,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
EarthquakeNPP: ANSS ComCat,Earthquake Forecasting (Seismology),"4 (time, latitude, longitude, magnitude)","Not specified, but fewer events than SCEDC",Continuous (event-driven),ANSS Comprehensive Earthquake Catalog (ComCat) via USGS,EarthquakeNPP GitHub Repository,"A curated catalog covering the broader California region defined by CSEP experiments, from 1971-2021. Sourced from the ANSS ComCat, which is the authoritative catalog for significant US earthquakes.","Part of the official MLCommons benchmark. This dataset provides a different spatial and temporal scope compared to the SCEDC datasets, testing model generalizability to a different catalog and region.",124,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
EarthquakeNPP: SCEDC (Mc = 2.0),Earthquake Forecasting (Seismology),"4 (time, latitude, longitude, magnitude)","~140,000+ events (approx.)",Continuous (event-driven),Southern California Earthquake Data Center (SCEDC),EarthquakeNPP GitHub Repository,"A curated catalog of earthquakes from Southern California, 1981-2021, with a magnitude of completeness (Mc) of 2.0. This is the densest dataset in the SCEDC suite, containing the largest number of small seismic events. Data is provided as a sequence of events for point process models.","Part of the official MLCommons benchmark. Designed to test model performance with high-density, potentially noisy data from smaller quakes. The chronological train/test split includes the 2019 Ridgecrest sequence in the test set.",125,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
